core	model	suite	mode	opcode	mnemonic	addressing_mode	legal_nmos	testcases	scenarios	failures	nmi_scenarios	nmi_failures	irq_scenarios	irq_failures	status
o2	nmos	nmi_irq_pulse_sweep	full	0x7E	ROR	absolute,X	yes	2	216	108	108	108	108	0	failed
o2	nmos	nmi_irq_pulse_sweep	full	0x7F	???	illegal	no	2	216	216	108	108	108	108	failed
o2	nmos	nmi_irq_pulse_sweep	full	0x80	???	illegal	no	1	108	54	54	54	54	0	failed
o2	nmos	nmi_irq_pulse_sweep	full	0x81	STA	(zero page,X)	yes	1	108	54	54	54	54	0	failed
o2	nmos	nmi_irq_pulse_sweep	full	0x82	???	illegal	no	1	108	54	54	54	54	0	failed
o2	nmos	nmi_irq_pulse_sweep	full	0x83	???	illegal	no	1	108	108	54	54	54	54	failed
o2	nmos	nmi_irq_pulse_sweep	full	0x84	STY	zero page	yes	1	108	54	54	54	54	0	failed
o2	nmos	nmi_irq_pulse_sweep	full	0x85	STA	zero page	yes	1	108	54	54	54	54	0	failed
o2	nmos	nmi_irq_pulse_sweep	full	0x86	STX	zero page	yes	1	108	54	54	54	54	0	failed
o2	nmos	nmi_irq_pulse_sweep	full	0x87	???	illegal	no	1	108	108	54	54	54	54	failed
o2	nmos	nmi_irq_pulse_sweep	full	0x88	DEY	implied	yes	1	108	54	54	54	54	0	failed
o2	nmos	nmi_irq_pulse_sweep	full	0x89	???	illegal	no	1	108	54	54	54	54	0	failed
o2	nmos	nmi_irq_pulse_sweep	full	0x8A	TXA	implied	yes	1	108	54	54	54	54	0	failed
o2	nmos	nmi_irq_pulse_sweep	full	0x8B	???	illegal	no	1	0	0	0	0	0	0	skipped_unstable
o2	nmos	nmi_irq_pulse_sweep	full	0x8C	STY	absolute	yes	1	108	54	54	54	54	0	failed
o2	nmos	nmi_irq_pulse_sweep	full	0x8D	STA	absolute	yes	1	108	54	54	54	54	0	failed
o2	nmos	nmi_irq_pulse_sweep	full	0x8E	STX	absolute	yes	1	108	54	54	54	54	0	failed
o2	nmos	nmi_irq_pulse_sweep	full	0x8F	???	illegal	no	1	108	54	54	54	54	0	failed
o2	nmos	nmi_irq_pulse_sweep	full	0x90	BCC	relative	yes	3	324	162	162	162	162	0	failed
o2	nmos	nmi_irq_pulse_sweep	full	0x91	STA	(zero page),Y	yes	2	216	108	108	108	108	0	failed
o2	nmos	nmi_irq_pulse_sweep	full	0x92	???	illegal	no	1	108	108	54	54	54	54	failed
o2	nmos	nmi_irq_pulse_sweep	full	0x93	???	illegal	no	2	216	216	108	108	108	108	failed
o2	nmos	nmi_irq_pulse_sweep	full	0x94	STY	zero page,X	yes	1	108	54	54	54	54	0	failed
o2	nmos	nmi_irq_pulse_sweep	full	0x95	STA	zero page,X	yes	1	108	54	54	54	54	0	failed
o2	nmos	nmi_irq_pulse_sweep	full	0x96	STX	zero page,Y	yes	1	108	54	54	54	54	0	failed
o2	nmos	nmi_irq_pulse_sweep	full	0x97	???	illegal	no	1	108	108	54	54	54	54	failed
o2	nmos	nmi_irq_pulse_sweep	full	0x98	TYA	implied	yes	1	108	54	54	54	54	0	failed
o2	nmos	nmi_irq_pulse_sweep	full	0x99	STA	absolute,Y	yes	2	216	108	108	108	108	0	failed
o2	nmos	nmi_irq_pulse_sweep	full	0x9A	TXS	implied	yes	1	108	54	54	54	54	0	failed
o2	nmos	nmi_irq_pulse_sweep	full	0x9B	???	illegal	no	2	216	216	108	108	108	108	failed
o2	nmos	nmi_irq_pulse_sweep	full	0x9C	???	illegal	no	2	216	216	108	108	108	108	failed
o2	nmos	nmi_irq_pulse_sweep	full	0x9D	STA	absolute,X	yes	2	216	108	108	108	108	0	failed
o2	nmos	nmi_irq_pulse_sweep	full	0x9E	???	illegal	no	2	216	162	108	108	108	54	failed
o2	nmos	nmi_irq_pulse_sweep	full	0x9F	???	illegal	no	2	216	216	108	108	108	108	failed
o2	nmos	nmi_irq_pulse_sweep	full	0xA0	LDY	immediate	yes	1	108	54	54	54	54	0	failed
o2	nmos	nmi_irq_pulse_sweep	full	0xA1	LDA	(zero page,X)	yes	1	108	54	54	54	54	0	failed
o2	nmos	nmi_irq_pulse_sweep	full	0xA2	LDX	immediate	yes	1	108	54	54	54	54	0	failed
o2	nmos	nmi_irq_pulse_sweep	full	0xA3	???	illegal	no	1	108	108	54	54	54	54	failed
o2	nmos	nmi_irq_pulse_sweep	full	0xA4	LDY	zero page	yes	1	108	54	54	54	54	0	failed
o2	nmos	nmi_irq_pulse_sweep	full	0xA5	LDA	zero page	yes	1	108	54	54	54	54	0	failed
o2	nmos	nmi_irq_pulse_sweep	full	0xA6	LDX	zero page	yes	1	108	54	54	54	54	0	failed
o2	nmos	nmi_irq_pulse_sweep	full	0xA7	???	illegal	no	1	108	108	54	54	54	54	failed
o2	nmos	nmi_irq_pulse_sweep	full	0xA8	TAY	implied	yes	1	108	54	54	54	54	0	failed
o2	nmos	nmi_irq_pulse_sweep	full	0xA9	LDA	immediate	yes	1	108	54	54	54	54	0	failed
o2	nmos	nmi_irq_pulse_sweep	full	0xAA	TAX	implied	yes	1	108	54	54	54	54	0	failed
o2	nmos	nmi_irq_pulse_sweep	full	0xAB	???	illegal	no	1	0	0	0	0	0	0	skipped_unstable
o2	nmos	nmi_irq_pulse_sweep	full	0xAC	LDY	absolute	yes	1	108	54	54	54	54	0	failed
o2	nmos	nmi_irq_pulse_sweep	full	0xAD	LDA	absolute	yes	1	108	54	54	54	54	0	failed
o2	nmos	nmi_irq_pulse_sweep	full	0xAE	LDX	absolute	yes	1	108	54	54	54	54	0	failed
o2	nmos	nmi_irq_pulse_sweep	full	0xAF	???	illegal	no	1	108	54	54	54	54	0	failed
o2	nmos	nmi_irq_pulse_sweep	full	0xB0	BCS	relative	yes	3	324	162	162	162	162	0	failed
o2	nmos	nmi_irq_pulse_sweep	full	0xB1	LDA	(zero page),Y	yes	2	216	108	108	108	108	0	failed
o2	nmos	nmi_irq_pulse_sweep	full	0xB2	???	illegal	no	1	108	108	54	54	54	54	failed
o2	nmos	nmi_irq_pulse_sweep	full	0xB3	???	illegal	no	2	216	216	108	108	108	108	failed
o2	nmos	nmi_irq_pulse_sweep	full	0xB4	LDY	zero page,X	yes	1	108	54	54	54	54	0	failed
o2	nmos	nmi_irq_pulse_sweep	full	0xB5	LDA	zero page,X	yes	1	108	54	54	54	54	0	failed
o2	nmos	nmi_irq_pulse_sweep	full	0xB6	LDX	zero page,Y	yes	1	108	54	54	54	54	0	failed
o2	nmos	nmi_irq_pulse_sweep	full	0xB7	???	illegal	no	1	108	108	54	54	54	54	failed
o2	nmos	nmi_irq_pulse_sweep	full	0xB8	CLV	implied	yes	1	108	54	54	54	54	0	failed
o2	nmos	nmi_irq_pulse_sweep	full	0xB9	LDA	absolute,Y	yes	2	216	108	108	108	108	0	failed
o2	nmos	nmi_irq_pulse_sweep	full	0xBA	TSX	implied	yes	1	108	54	54	54	54	0	failed
o2	nmos	nmi_irq_pulse_sweep	full	0xBB	???	illegal	no	2	0	0	0	0	0	0	skipped_unstable
o2	nmos	nmi_irq_pulse_sweep	full	0xBC	LDY	absolute,X	yes	2	216	108	108	108	108	0	failed
o2	nmos	nmi_irq_pulse_sweep	full	0xBD	LDA	absolute,X	yes	2	216	108	108	108	108	0	failed
o2	nmos	nmi_irq_pulse_sweep	full	0xBE	LDX	absolute,Y	yes	2	216	108	108	108	108	0	failed
o2	nmos	nmi_irq_pulse_sweep	full	0xBF	???	illegal	no	2	216	216	108	108	108	108	failed
o2	nmos	nmi_irq_pulse_sweep	full	0xC0	CPY	immediate	yes	1	108	54	54	54	54	0	failed
o2	nmos	nmi_irq_pulse_sweep	full	0xC1	CMP	(zero page,X)	yes	1	108	54	54	54	54	0	failed
o2	nmos	nmi_irq_pulse_sweep	full	0xC2	???	illegal	no	1	108	54	54	54	54	0	failed
o2	nmos	nmi_irq_pulse_sweep	full	0xC3	???	illegal	no	1	108	108	54	54	54	54	failed
o2	nmos	nmi_irq_pulse_sweep	full	0xC4	CPY	zero page	yes	1	108	54	54	54	54	0	failed
o2	nmos	nmi_irq_pulse_sweep	full	0xC5	CMP	zero page	yes	1	108	54	54	54	54	0	failed
o2	nmos	nmi_irq_pulse_sweep	full	0xC6	DEC	zero page	yes	1	108	54	54	54	54	0	failed
o2	nmos	nmi_irq_pulse_sweep	full	0xC7	???	illegal	no	1	108	108	54	54	54	54	failed
o2	nmos	nmi_irq_pulse_sweep	full	0xC8	INY	implied	yes	1	108	54	54	54	54	0	failed
o2	nmos	nmi_irq_pulse_sweep	full	0xC9	CMP	immediate	yes	1	108	54	54	54	54	0	failed
o2	nmos	nmi_irq_pulse_sweep	full	0xCA	DEX	implied	yes	1	108	54	54	54	54	0	failed
o2	nmos	nmi_irq_pulse_sweep	full	0xCB	???	illegal	no	1	108	108	54	54	54	54	failed
o2	nmos	nmi_irq_pulse_sweep	full	0xCC	CPY	absolute	yes	1	108	54	54	54	54	0	failed
o2	nmos	nmi_irq_pulse_sweep	full	0xCD	CMP	absolute	yes	1	108	54	54	54	54	0	failed
o2	nmos	nmi_irq_pulse_sweep	full	0xCE	DEC	absolute	yes	1	108	54	54	54	54	0	failed
o2	nmos	nmi_irq_pulse_sweep	full	0xCF	???	illegal	no	1	108	108	54	54	54	54	failed
o2	nmos	nmi_irq_pulse_sweep	full	0xD0	BNE	relative	yes	3	324	162	162	162	162	0	failed
o2	nmos	nmi_irq_pulse_sweep	full	0xD1	CMP	(zero page),Y	yes	2	216	108	108	108	108	0	failed
o2	nmos	nmi_irq_pulse_sweep	full	0xD2	???	illegal	no	1	108	108	54	54	54	54	failed
o2	nmos	nmi_irq_pulse_sweep	full	0xD3	???	illegal	no	2	216	216	108	108	108	108	failed
o2	nmos	nmi_irq_pulse_sweep	full	0xD4	???	illegal	no	1	108	108	54	54	54	54	failed
o2	nmos	nmi_irq_pulse_sweep	full	0xD5	CMP	zero page,X	yes	1	108	54	54	54	54	0	failed
o2	nmos	nmi_irq_pulse_sweep	full	0xD6	DEC	zero page,X	yes	1	108	54	54	54	54	0	failed
o2	nmos	nmi_irq_pulse_sweep	full	0xD7	???	illegal	no	1	108	108	54	54	54	54	failed
o2	nmos	nmi_irq_pulse_sweep	full	0xD8	CLD	implied	yes	1	108	54	54	54	54	0	failed
o2	nmos	nmi_irq_pulse_sweep	full	0xD9	CMP	absolute,Y	yes	2	216	108	108	108	108	0	failed
o2	nmos	nmi_irq_pulse_sweep	full	0xDA	???	illegal	no	1	108	54	54	54	54	0	failed
o2	nmos	nmi_irq_pulse_sweep	full	0xDB	???	illegal	no	2	216	216	108	108	108	108	failed
o2	nmos	nmi_irq_pulse_sweep	full	0xDC	???	illegal	no	2	216	216	108	108	108	108	failed
o2	nmos	nmi_irq_pulse_sweep	full	0xDD	CMP	absolute,X	yes	2	216	108	108	108	108	0	failed
o2	nmos	nmi_irq_pulse_sweep	full	0xDE	DEC	absolute,X	yes	2	216	108	108	108	108	0	failed
o2	nmos	nmi_irq_pulse_sweep	full	0xDF	???	illegal	no	2	216	216	108	108	108	108	failed
o2	nmos	nmi_irq_pulse_sweep	full	0xE0	CPX	immediate	yes	1	108	54	54	54	54	0	failed
o2	nmos	nmi_irq_pulse_sweep	full	0xE1	SBC	(zero page,X)	yes	1	108	54	54	54	54	0	failed
o2	nmos	nmi_irq_pulse_sweep	full	0xE2	???	illegal	no	1	108	54	54	54	54	0	failed
o2	nmos	nmi_irq_pulse_sweep	full	0xE3	???	illegal	no	1	108	108	54	54	54	54	failed
o2	nmos	nmi_irq_pulse_sweep	full	0xE4	CPX	zero page	yes	1	108	54	54	54	54	0	failed
o2	nmos	nmi_irq_pulse_sweep	full	0xE5	SBC	zero page	yes	1	108	54	54	54	54	0	failed
o2	nmos	nmi_irq_pulse_sweep	full	0xE6	INC	zero page	yes	1	108	54	54	54	54	0	failed
o2	nmos	nmi_irq_pulse_sweep	full	0xE7	???	illegal	no	1	108	108	54	54	54	54	failed
o2	nmos	nmi_irq_pulse_sweep	full	0xE8	INX	implied	yes	1	108	54	54	54	54	0	failed
o2	nmos	nmi_irq_pulse_sweep	full	0xE9	SBC	immediate	yes	2	216	108	108	108	108	0	failed
o2	nmos	nmi_irq_pulse_sweep	full	0xEA	NOP	implied	yes	1	108	54	54	54	54	0	failed
o2	nmos	nmi_irq_pulse_sweep	full	0xEB	???	illegal	no	2	216	216	108	108	108	108	failed
o2	nmos	nmi_irq_pulse_sweep	full	0xEC	CPX	absolute	yes	1	108	54	54	54	54	0	failed
o2	nmos	nmi_irq_pulse_sweep	full	0xED	SBC	absolute	yes	1	108	54	54	54	54	0	failed
o2	nmos	nmi_irq_pulse_sweep	full	0xEE	INC	absolute	yes	1	108	54	54	54	54	0	failed
o2	nmos	nmi_irq_pulse_sweep	full	0xEF	???	illegal	no	1	108	108	54	54	54	54	failed
o2	nmos	nmi_irq_pulse_sweep	full	0xF0	BEQ	relative	yes	3	324	162	162	162	162	0	failed
o2	nmos	nmi_irq_pulse_sweep	full	0xF1	SBC	(zero page),Y	yes	2	216	108	108	108	108	0	failed
o2	nmos	nmi_irq_pulse_sweep	full	0xF2	???	illegal	no	1	108	108	54	54	54	54	failed
o2	nmos	nmi_irq_pulse_sweep	full	0xF3	???	illegal	no	2	216	216	108	108	108	108	failed
o2	nmos	nmi_irq_pulse_sweep	full	0xF4	???	illegal	no	1	108	108	54	54	54	54	failed
o2	nmos	nmi_irq_pulse_sweep	full	0xF5	SBC	zero page,X	yes	1	108	54	54	54	54	0	failed
o2	nmos	nmi_irq_pulse_sweep	full	0xF6	INC	zero page,X	yes	1	108	54	54	54	54	0	failed
o2	nmos	nmi_irq_pulse_sweep	full	0xF7	???	illegal	no	1	108	108	54	54	54	54	failed
o2	nmos	nmi_irq_pulse_sweep	full	0xF8	SED	implied	yes	1	108	54	54	54	54	0	failed
o2	nmos	nmi_irq_pulse_sweep	full	0xF9	SBC	absolute,Y	yes	2	216	108	108	108	108	0	failed
o2	nmos	nmi_irq_pulse_sweep	full	0xFA	???	illegal	no	1	108	54	54	54	54	0	failed
o2	nmos	nmi_irq_pulse_sweep	full	0xFB	???	illegal	no	2	216	216	108	108	108	108	failed
o2	nmos	nmi_irq_pulse_sweep	full	0xFC	???	illegal	no	2	216	216	108	108	108	108	failed
o2	nmos	nmi_irq_pulse_sweep	full	0xFD	SBC	absolute,X	yes	2	216	108	108	108	108	0	failed
o2	nmos	nmi_irq_pulse_sweep	full	0xFE	INC	absolute,X	yes	2	216	108	108	108	108	0	failed
o2	nmos	nmi_irq_pulse_sweep	full	0xFF	???	illegal	no	2	216	216	108	108	108	108	failed
